,CustomerID,CustomerName,Segment,Country,City,State,PostalCode,Region,OrderID,OrderDate,ShipDate,ShipMode,ProductID,Sales,Quantity,Discount,Profit,Category,Sub-Category,ProductName
14,CUST-0091,Monica Shepard,Corporate,USA,Huntport,Texas,97776,West,ORD-43431,2024-07-24,2024-07-26,Second Class,PROD-0003,299.7,1,0.11,89.7,Technology,Copiers,Record Copiers
15,CUST-0206,Brenda Adams,Consumer,USA,Lake Donnafurt,Nebraska,36263,South,ORD-78594,2025-07-22,2025-07-23,Second Class,PROD-0003,1419.36,1,0.03,254.93,Technology,Copiers,Record Copiers
16,CUST-0094,Luke May,Home Office,USA,South Lori,North Carolina,16404,Central,ORD-89054,2025-01-30,2025-02-08,Second Class,PROD-0003,1005.96,10,0.29,175.59,Technology,Copiers,Record Copiers
17,CUST-0224,David Martin,Corporate,USA,New Derrick,Nevada,81759,South,ORD-98466,2025-02-16,2025-02-26,Standard Class,PROD-0003,1382.13,8,0.01,70.89,Technology,Copiers,Record Copiers
18,CUST-0273,Mr. Gregory Kelly Jr.,Corporate,USA,New Jamesshire,Delaware,33977,West,ORD-12679,2025-01-03,2025-01-05,Second Class,PROD-0003,1895.75,9,0.18,298.04,Technology,Copiers,Record Copiers
19,CUST-0299,Emily Rich,Home Office,USA,East Calebchester,New Jersey,74561,West,ORD-29774,2024-11-13,2024-11-16,Standard Class,PROD-0003,928.39,9,0.27,244.36,Technology,Copiers,Record Copiers
20,CUST-0283,Kyle Wilson,Corporate,USA,North Emilytown,New York,28945,East,ORD-58262,2024-08-09,2024-08-18,Same Day,PROD-0003,260.33,4,0.15,14.96,Technology,Copiers,Record Copiers
21,CUST-0294,Nicolas Melendez,Corporate,USA,Tracybury,Delaware,67369,West,ORD-68044,2025-03-30,2025-04-07,Second Class,PROD-0004,1930.33,6,0.06,242.14,Technology,Machines,Thought Machines
22,CUST-0167,Henry Wagner,Consumer,USA,Port James,Ohio,86289,East,ORD-11664,2023-11-06,2023-11-14,Same Day,PROD-0004,1605.26,6,0.2,107.48,Technology,Machines,Thought Machines
23,CUST-0248,Kayla Oliver,Corporate,USA,Joshuabury,Maryland,48574,East,ORD-89331,2025-06-15,2025-06-25,First Class,PROD-0004,1435.94,9,0.06,147.19,Technology,Machines,Thought Machines
24,CUST-0227,Jordan Andrade,Corporate,USA,Carrilloville,Pennsylvania,89425,South,ORD-74790,2024-11-02,2024-11-08,Standard Class,PROD-0004,1580.58,2,0.11,156.09,Technology,Machines,Thought Machines
25,CUST-0056,Tyler Mcbride,Consumer,USA,Lawrenceview,Iowa,11759,West,ORD-52943,2025-03-23,2025-03-29,Second Class,PROD-0004,255.91,2,0.22,50.8,Technology,Machines,Thought Machines
26,CUST-0142,Gary Thompson,Corporate,USA,West Shannontown,South Dakota,52994,West,ORD-40011,2024-11-26,2024-11-28,First Class,PROD-0004,732.8,6,0.01,176.34,Technology,Machines,Thought Machines
27,CUST-0282,Jennifer Garcia,Consumer,USA,Michealmouth,Massachusetts,92620,Central,ORD-51391,2024-08-07,2024-08-12,First Class,PROD-0005,516.74,1,0.02,131.71,Technology,Phones,Institution Phones
28,CUST-0155,Justin Hull,Consumer,USA,New Alexismouth,Hawaii,48036,West,ORD-51393,2023-12-02,2023-12-05,First Class,PROD-0005,1260.67,3,0.2,100.57,Technology,Phones,Institution Phones
29,CUST-0228,Daniel Wells,Consumer,USA,Russostad,South Dakota,798,Central,ORD-47448,2024-08-10,2024-08-16,Second Class,PROD-0005,918.04,5,0.23,88.5,Technology,Phones,Institution Phones
30,CUST-0134,Mercedes Yoder,Corporate,USA,South Amandamouth,Louisiana,77170,South,ORD-79607,2025-03-15,2025-03-17,Standard Class,PROD-0005,751.34,8,0.06,49.96,Technology,Phones,Institution Phones
31,CUST-0110,Ryan Hansen,Home Office,USA,Lake Amberbury,Wisconsin,3997,West,ORD-22946,2024-04-24,2024-04-29,Second Class,PROD-0005,1747.78,4,0.2,237.39,Technology,Phones,Institution Phones
32,CUST-0210,Jonathan Baker,Consumer,USA,Kristenport,Wisconsin,4052,South,ORD-37524,2025-01-05,2025-01-13,First Class,PROD-0005,1084.42,3,0.24,193.57,Technology,Phones,Institution Phones
33,CUST-0043,Kelly Cox,Consumer,USA,Crosbyland,Illinois,48986,South,ORD-13072,2024-07-22,2024-07-23,Second Class,PROD-0006,328.72,10,0.06,32.29,Furniture,Chairs,What Chairs
34,CUST-0126,Timothy Valentine,Corporate,USA,Jonathanland,Montana,86636,East,ORD-18580,2024-03-14,2024-03-18,Standard Class,PROD-0006,16.88,10,0.18,2.72,Furniture,Chairs,What Chairs
35,CUST-0151,Robert Morris,Home Office,USA,Vaughnmouth,California,5584,South,ORD-14292,2023-09-12,2023-09-15,Same Day,PROD-0006,34.22,9,0.24,7.12,Furniture,Chairs,What Chairs
36,CUST-0271,Mathew Moore,Home Office,USA,Laurafurt,Michigan,51556,South,ORD-97680,2024-01-12,2024-01-19,Same Day,PROD-0006,737.56,6,0.16,124.89,Furniture,Chairs,What Chairs
37,CUST-0146,Jacob Palmer,Corporate,USA,Palmershire,Alabama,85070,South,ORD-93213,2024-07-05,2024-07-09,First Class,PROD-0006,703.47,10,0.13,117.83,Furniture,Chairs,What Chairs
38,CUST-0285,Ryan Farmer,Corporate,USA,Johnland,Mississippi,58387,East,ORD-85921,2024-09-13,2024-09-23,Same Day,PROD-0006,1280.31,5,0.02,353.46,Furniture,Chairs,What Chairs
39,CUST-0146,Jacob Palmer,Corporate,USA,Palmershire,Alabama,85070,South,ORD-43058,2025-05-04,2025-05-14,Same Day,PROD-0006,159.39,8,0.01,12.97,Furniture,Chairs,What Chairs
40,CUST-0277,James Robinson,Consumer,USA,Johnsonport,Montana,55780,South,ORD-36083,2024-05-07,2024-05-10,First Class,PROD-0007,591.08,7,0.02,70.17,Furniture,Furnishings,Rock Furnishings
41,CUST-0017,Michael Juarez,Home Office,USA,Singletonmouth,Rhode Island,35828,East,ORD-60826,2024-12-24,2024-12-30,First Class,PROD-0007,801.65,2,0.24,236.21,Furniture,Furnishings,Rock Furnishings
42,CUST-0098,Matthew Conner,Home Office,USA,Nortonstad,Vermont,92927,East,ORD-51683,2024-08-11,2024-08-17,Second Class,PROD-0007,885.33,6,0.28,79.3,Furniture,Furnishings,Rock Furnishings
43,CUST-0115,Jennifer Williams,Home Office,USA,Hillton,West Virginia,39563,South,ORD-86535,2025-03-07,2025-03-15,First Class,PROD-0007,1531.07,7,0.19,216.44,Furniture,Furnishings,Rock Furnishings
44,CUST-0226,Jennifer Williams,Consumer,USA,South Julieburgh,New Jersey,50212,West,ORD-86837,2024-05-10,2024-05-15,Second Class,PROD-0008,821.37,3,0.03,203.97,Technology,Machines,Question Machines
45,CUST-0038,Nathan House,Consumer,USA,Alvarezbury,Wisconsin,40681,Central,ORD-91319,2023-12-02,2023-12-04,Standard Class,PROD-0008,1068.11,10,0.25,156.99,Technology,Machines,Question Machines
46,CUST-0057,Brittany Zhang,Consumer,USA,Lake Fred,Alabama,5310,Central,ORD-33221,2025-04-16,2025-04-19,First Class,PROD-0009,1586.74,3,0.26,137.51,Technology,Accessories,Join Accessories
47,CUST-0217,Charles Orr,Corporate,USA,North Ryan,Arizona,56890,West,ORD-65161,2024-10-09,2024-10-19,First Class,PROD-0010,830.81,2,0.12,143.61,Office Supplies,Storage,Set Storage
48,CUST-0194,Margaret Cochran,Corporate,USA,West Peterton,South Carolina,87878,West,ORD-71215,2023-10-30,2023-11-01,Standard Class,PROD-0010,1678.48,5,0.2,165.48,Office Supplies,Storage,Set Storage
49,CUST-0287,Richard Padilla,Consumer,USA,Lake Kevin,New York,16657,East,ORD-40579,2024-04-03,2024-04-08,Standard Class,PROD-0010,1590.21,2,0.14,229.41,Office Supplies,Storage,Set Storage
50,CUST-0255,Isabella Savage,Corporate,USA,Zoehaven,Florida,94036,Central,ORD-77477,2024-03-21,2024-03-29,First Class,PROD-0010,722.12,7,0.05,106.19,Office Supplies,Storage,Set Storage
51,CUST-0035,Wendy Haney,Corporate,USA,Castillofurt,Michigan,57019,Central,ORD-21723,2024-09-09,2024-09-16,First Class,PROD-0010,115.1,9,0.24,13.23,Office Supplies,Storage,Set Storage
52,CUST-0095,Stacey Lee,Home Office,USA,Sanchezstad,Oregon,62355,East,ORD-49196,2024-11-12,2024-11-22,Second Class,PROD-0010,1265.17,2,0.09,224.64,Office Supplies,Storage,Set Storage
53,CUST-0093,Margaret Dunn,Corporate,USA,East Kimberly,New Hampshire,34314,Central,ORD-92600,2024-02-14,2024-02-19,Same Day,PROD-0010,1870.04,10,0.09,532.55,Office Supplies,Storage,Set Storage
54,CUST-0131,Cassandra Brown,Home Office,USA,Lake Ryanton,Florida,43130,East,ORD-17046,2024-03-28,2024-04-07,Same Day,PROD-0010,716.95,5,0.13,51.36,Office Supplies,Storage,Set Storage
55,CUST-0136,Robert Willis,Consumer,USA,Annetteview,Maine,38743,Central,ORD-83091,2024-02-08,2024-02-11,First Class,PROD-0010,1257.46,8,0.17,142.25,Office Supplies,Storage,Set Storage
56,CUST-0095,Stacey Lee,Home Office,USA,Sanchezstad,Oregon,62355,East,ORD-69166,2024-07-05,2024-07-08,Second Class,PROD-0010,947.5,6,0.05,111.33,Office Supplies,Storage,Set Storage
57,CUST-0255,Isabella Savage,Corporate,USA,Zoehaven,Florida,94036,Central,ORD-85146,2023-09-25,2023-10-04,Same Day,PROD-0011,1486.75,3,0.25,136.17,Furniture,Bookcases,Work Bookcases
58,CUST-0072,Tina Washington,Corporate,USA,Berryburgh,Idaho,13854,West,ORD-89595,2023-09-11,2023-09-12,First Class,PROD-0011,422.04,7,0.05,60.24,Furniture,Bookcases,Work Bookcases
59,CUST-0166,Nancy Santana,Home Office,USA,East Stephanie,New Jersey,23970,East,ORD-44712,2024-03-23,2024-03-24,Same Day,PROD-0011,158.85,6,0.13,29.37,Furniture,Bookcases,Work Bookcases
60,CUST-0286,Raymond Gallagher,Corporate,USA,North Mikeview,Minnesota,78586,Central,ORD-12929,2024-12-21,2024-12-29,Same Day,PROD-0011,262.76,9,0.2,20.95,Furniture,Bookcases,Work Bookcases
61,CUST-0071,Dustin Meyers,Home Office,USA,New Chase,West Virginia,12179,South,ORD-34937,2025-08-09,2025-08-11,Same Day,PROD-0011,1901.51,9,0.24,193.15,Furniture,Bookcases,Work Bookcases
62,CUST-0072,Tina Washington,Corporate,USA,Berryburgh,Idaho,13854,West,ORD-77110,2024-06-05,2024-06-12,Standard Class,PROD-0012,397.54,8,0.01,91.67,Furniture,Chairs,Edge Chairs
63,CUST-0144,David Jenkins,Corporate,USA,South Nathaniel,Alabama,17072,East,ORD-67422,2024-11-14,2024-11-20,Same Day,PROD-0012,1640.4,2,0.27,161.88,Furniture,Chairs,Edge Chairs
64,CUST-0132,Emily Rodriguez,Home Office,USA,Simmonsshire,Arizona,40611,East,ORD-74130,2024-04-24,2024-05-04,First Class,PROD-0012,1095.78,9,0.07,305.94,Furniture,Chairs,Edge Chairs
65,CUST-0156,Brittany Carpenter,Home Office,USA,Grantbury,Massachusetts,4516,West,ORD-40966,2024-03-07,2024-03-15,Same Day,PROD-0012,897.88,4,0.04,105.08,Furniture,Chairs,Edge Chairs
66,CUST-0236,Chad Warren,Corporate,USA,North Nicole,Georgia,12887,West,ORD-86085,2025-01-29,2025-02-04,Same Day,PROD-0012,312.76,6,0.23,44.09,Furniture,Chairs,Edge Chairs
67,CUST-0113,Olivia Ford,Corporate,USA,West Crystalfurt,Pennsylvania,20370,South,ORD-81262,2024-07-04,2024-07-08,Same Day,PROD-0012,1748.83,5,0.19,301.31,Furniture,Chairs,Edge Chairs
68,CUST-0203,Stephanie Yoder,Corporate,USA,Tuckerton,Hawaii,30340,Central,ORD-32986,2024-02-12,2024-02-18,Standard Class,PROD-0012,537.52,7,0.13,63.27,Furniture,Chairs,Edge Chairs
69,CUST-0018,Thomas Burgess,Consumer,USA,Robinsonland,Wisconsin,75631,Central,ORD-17476,2023-11-04,2023-11-12,Same Day,PROD-0013,919.92,8,0.24,208.21,Technology,Machines,Soon Machines
70,CUST-0173,Ricky Perry,Home Office,USA,West Lisa,Arizona,11327,East,ORD-52612,2024-04-24,2024-05-02,Second Class,PROD-0014,776.8,1,0.09,193.49,Technology,Accessories,Conference Accessories
71,CUST-0049,Daniel May,Corporate,USA,Kiddtown,Kentucky,44709,Central,ORD-50994,2024-12-12,2024-12-15,Same Day,PROD-0014,798.25,4,0.1,52.19,Technology,Accessories,Conference Accessories
72,CUST-0163,Heather Howard,Corporate,USA,Port Lisaburgh,New Mexico,47451,South,ORD-35918,2024-02-09,2024-02-10,Same Day,PROD-0014,147.97,4,0.3,16.09,Technology,Accessories,Conference Accessories
73,CUST-0100,Patricia Smith,Home Office,USA,Lake Eric,New Jersey,57678,East,ORD-49416,2024-01-11,2024-01-14,Same Day,PROD-0014,636.26,2,0.19,141.07,Technology,Accessories,Conference Accessories
74,CUST-0286,Raymond Gallagher,Corporate,USA,North Mikeview,Minnesota,78586,Central,ORD-90323,2024-12-16,2024-12-25,Standard Class,PROD-0015,1935.62,6,0.22,224.02,Furniture,Furnishings,Plant Furnishings
75,CUST-0262,Gina Mercer,Corporate,USA,Snyderhaven,Tennessee,76340,Central,ORD-59865,2024-11-04,2024-11-06,Same Day,PROD-0015,680.84,9,0.16,42.45,Furniture,Furnishings,Plant Furnishings
76,CUST-0229,Christopher Hall III,Corporate,USA,East Shannon,Arkansas,61179,Central,ORD-43097,2024-02-22,2024-03-01,Standard Class,PROD-0015,1690.64,7,0.1,339.36,Furniture,Furnishings,Plant Furnishings
77,CUST-0174,David Davis,Home Office,USA,Edwardland,Nebraska,88575,West,ORD-10574,2025-04-30,2025-05-10,First Class,PROD-0016,1452.55,3,0.11,226.97,Furniture,Chairs,Feel Chairs
78,CUST-0018,Thomas Burgess,Consumer,USA,Robinsonland,Wisconsin,75631,Central,ORD-61065,2023-11-25,2023-11-28,Second Class,PROD-0016,1537.32,9,0.11,340.4,Furniture,Chairs,Feel Chairs
79,CUST-0187,Herbert Chavez,Consumer,USA,Mortonmouth,Nevada,61592,South,ORD-76088,2023-09-13,2023-09-20,Second Class,PROD-0016,1446.92,3,0.12,126.15,Furniture,Chairs,Feel Chairs
80,CUST-0009,Andrea Jackson,Consumer,USA,New Alexandria,Maryland,56649,East,ORD-18871,2024-06-06,2024-06-09,First Class,PROD-0017,888.92,3,0.02,165.39,Office Supplies,Binders,Sure Binders
81,CUST-0289,Jennifer Williams,Corporate,USA,West Dennis,Delaware,53584,South,ORD-11485,2023-10-18,2023-10-20,Standard Class,PROD-0017,913.44,1,0.26,169.83,Office Supplies,Binders,Sure Binders
82,CUST-0196,Gary Ford,Home Office,USA,Lake James,North Carolina,45339,South,ORD-37197,2024-10-14,2024-10-23,Standard Class,PROD-0017,1207.04,9,0.12,339.74,Office Supplies,Binders,Sure Binders
83,CUST-0055,Lauren Silva,Corporate,USA,West Tina,North Dakota,98841,Central,ORD-71763,2025-06-26,2025-07-05,Same Day,PROD-0017,1728.94,1,0.12,431.45,Office Supplies,Binders,Sure Binders
84,CUST-0262,Gina Mercer,Corporate,USA,Snyderhaven,Tennessee,76340,Central,ORD-49511,2025-07-06,2025-07-13,Second Class,PROD-0017,52.77,8,0.28,12.34,Office Supplies,Binders,Sure Binders
85,CUST-0277,James Robinson,Consumer,USA,Johnsonport,Montana,55780,South,ORD-13387,2023-11-27,2023-11-28,First Class,PROD-0017,1115.53,4,0.23,98.73,Office Supplies,Binders,Sure Binders
86,CUST-0027,Jenna Contreras,Home Office,USA,West Jasonstad,Oregon,7958,East,ORD-77833,2024-01-07,2024-01-08,Same Day,PROD-0017,432.77,1,0.23,65.37,Office Supplies,Binders,Sure Binders
87,CUST-0074,Ashley Garza MD,Home Office,USA,East Daniel,Missouri,6904,West,ORD-25604,2023-11-10,2023-11-11,Second Class,PROD-0017,1395.94,4,0.28,143.11,Office Supplies,Binders,Sure Binders
88,CUST-0102,Kristin Beasley,Home Office,USA,North Scott,South Carolina,35696,South,ORD-42679,2024-02-24,2024-02-25,Same Day,PROD-0018,569.48,7,0.2,59.4,Office Supplies,Binders,Agent Binders
89,CUST-0297,Andrew Johnson,Corporate,USA,East Mathewbury,New Mexico,51675,West,ORD-67230,2024-09-24,2024-10-01,First Class,PROD-0018,984.2,7,0.01,274.94,Office Supplies,Binders,Agent Binders
90,CUST-0056,Tyler Mcbride,Consumer,USA,Lawrenceview,Iowa,11759,West,ORD-91376,2024-06-07,2024-06-10,Second Class,PROD-0019,211.12,7,0.12,41.59,Technology,Accessories,War Accessories
91,CUST-0132,Emily Rodriguez,Home Office,USA,Simmonsshire,Arizona,40611,East,ORD-13185,2024-11-14,2024-11-24,Second Class,PROD-0019,1869.39,9,0.18,294.99,Technology,Accessories,War Accessories
92,CUST-0065,Eric Rodriguez,Home Office,USA,Taraburgh,Oregon,65854,Central,ORD-53054,2025-05-05,2025-05-15,Second Class,PROD-0019,1134.73,1,0.29,106.18,Technology,Accessories,War Accessories
93,CUST-0259,Brittany Robinson,Corporate,USA,Port Samuel,Tennessee,93864,Central,ORD-92767,2024-12-23,2025-01-01,Standard Class,PROD-0019,1227.3,7,0.03,173.22,Technology,Accessories,War Accessories
94,CUST-0139,Brenda Jackson,Home Office,USA,New Tina,Idaho,96676,South,ORD-42521,2024-05-21,2024-05-26,First Class,PROD-0019,1182.8,1,0.22,217.34,Technology,Accessories,War Accessories
95,CUST-0038,Nathan House,Consumer,USA,Alvarezbury,Wisconsin,40681,Central,ORD-65167,2024-04-18,2024-04-19,Second Class,PROD-0019,366.64,2,0.12,90.83,Technology,Accessories,War Accessories
96,CUST-0230,Justin Hill,Corporate,USA,Lake Jon,Alaska,15170,Central,ORD-61257,2024-07-15,2024-07-20,Standard Class,PROD-0019,1527.35,7,0.09,188.95,Technology,Accessories,War Accessories
97,CUST-0075,Angela Ochoa,Consumer,USA,New Tami,Florida,77175,West,ORD-44507,2024-07-15,2024-07-22,Second Class,PROD-0020,1949.0,4,0.25,502.71,Office Supplies,Appliances,Need Appliances
98,CUST-0158,Robin Hanson MD,Corporate,USA,Tinachester,Indiana,8171,South,ORD-78880,2025-04-20,2025-04-27,Same Day,PROD-0020,1767.57,7,0.01,481.73,Office Supplies,Appliances,Need Appliances
99,CUST-0039,Susan Brown,Consumer,USA,Maymouth,Colorado,4924,Central,ORD-41474,2025-04-05,2025-04-10,Second Class,PROD-0020,874.02,3,0.07,246.97,Office Supplies,Appliances,Need Appliances
100,CUST-0203,Stephanie Yoder,Corporate,USA,Tuckerton,Hawaii,30340,Central,ORD-66195,2024-01-12,2024-01-21,First Class,PROD-0020,904.64,6,0.04,127.91,Office Supplies,Appliances,Need Appliances
101,CUST-0285,Ryan Farmer,Corporate,USA,Johnland,Mississippi,58387,East,ORD-75220,2024-03-15,2024-03-25,First Class,PROD-0020,409.54,10,0.07,122.67,Office Supplies,Appliances,Need Appliances
102,CUST-0232,Sherry York,Home Office,USA,New Michael,New Mexico,91723,Central,ORD-69741,2024-07-08,2024-07-10,Same Day,PROD-0021,1580.76,5,0.1,375.22,Furniture,Chairs,Reflect Chairs
103,CUST-0273,Mr. Gregory Kelly Jr.,Corporate,USA,New Jamesshire,Delaware,33977,West,ORD-70821,2024-01-01,2024-01-05,First Class,PROD-0021,861.42,10,0.27,96.95,Furniture,Chairs,Reflect Chairs
104,CUST-0202,Carlos Campbell,Consumer,USA,Riveraville,Kentucky,9299,West,ORD-83513,2024-11-29,2024-11-30,Second Class,PROD-0021,499.77,1,0.07,144.49,Furniture,Chairs,Reflect Chairs
105,CUST-0142,Gary Thompson,Corporate,USA,West Shannontown,South Dakota,52994,West,ORD-24301,2025-05-24,2025-05-30,First Class,PROD-0022,1641.67,1,0.25,333.38,Technology,Phones,You Phones
106,CUST-0198,Robert Anderson,Corporate,USA,Jordanberg,Kentucky,59946,South,ORD-32140,2025-06-10,2025-06-13,First Class,PROD-0022,998.94,9,0.19,94.2,Technology,Phones,You Phones
107,CUST-0273,Mr. Gregory Kelly Jr.,Corporate,USA,New Jamesshire,Delaware,33977,West,ORD-32081,2024-05-04,2024-05-14,First Class,PROD-0023,268.32,9,0.05,66.84,Furniture,Bookcases,Collection Bookcases
108,CUST-0157,Stephen Davis,Consumer,USA,Port Samanthaton,Idaho,98326,South,ORD-76154,2023-12-26,2023-12-29,Standard Class,PROD-0023,1596.64,5,0.1,288.77,Furniture,Bookcases,Collection Bookcases
109,CUST-0158,Robin Hanson MD,Corporate,USA,Tinachester,Indiana,8171,South,ORD-77321,2024-10-06,2024-10-13,First Class,PROD-0023,1117.73,4,0.23,316.65,Furniture,Bookcases,Collection Bookcases
110,CUST-0283,Kyle Wilson,Corporate,USA,North Emilytown,New York,28945,East,ORD-28133,2025-06-25,2025-06-28,Same Day,PROD-0023,331.85,6,0.25,72.99,Furniture,Bookcases,Collection Bookcases
111,CUST-0233,David Miller,Home Office,USA,Lake Robert,Maryland,89347,Central,ORD-88202,2025-05-13,2025-05-17,Second Class,PROD-0023,1993.59,4,0.13,462.5,Furniture,Bookcases,Collection Bookcases
112,CUST-0125,Jesus Kidd,Consumer,USA,North Thomas,South Carolina,75420,East,ORD-29432,2024-12-22,2024-12-28,Same Day,PROD-0023,1938.36,4,0.22,274.7,Furniture,Bookcases,Collection Bookcases
113,CUST-0265,Jennifer Lowe,Home Office,USA,Caseyport,Mississippi,41132,West,ORD-17517,2023-09-06,2023-09-15,Second Class,PROD-0023,1919.35,5,0.29,271.83,Furniture,Bookcases,Collection Bookcases
114,CUST-0029,John Martin,Corporate,USA,North Kristin,Alaska,51879,South,ORD-76469,2024-09-24,2024-09-25,Second Class,PROD-0024,1488.57,1,0.02,236.75,Office Supplies,Binders,Provide Binders
115,CUST-0213,Dr. Catherine Coleman,Consumer,USA,Tristanview,Connecticut,72669,East,ORD-23528,2023-09-13,2023-09-21,First Class,PROD-0024,171.76,5,0.23,45.95,Office Supplies,Binders,Provide Binders
116,CUST-0150,Matthew Thomas,Home Office,USA,Fosterside,New Mexico,8014,South,ORD-85540,2024-11-12,2024-11-15,Same Day,PROD-0024,1729.99,1,0.13,189.29,Office Supplies,Binders,Provide Binders
117,CUST-0291,William Acevedo MD,Consumer,USA,Port Andrewberg,Minnesota,84283,East,ORD-70165,2023-12-29,2024-01-04,Second Class,PROD-0024,496.84,4,0.26,59.96,Office Supplies,Binders,Provide Binders
118,CUST-0052,Tracy Wolf,Corporate,USA,West Isaac,Florida,82036,South,ORD-55892,2025-04-05,2025-04-10,Standard Class,PROD-0025,813.19,8,0.18,45.47,Technology,Accessories,Memory Accessories
119,CUST-0139,Brenda Jackson,Home Office,USA,New Tina,Idaho,96676,South,ORD-74035,2025-05-21,2025-05-31,Second Class,PROD-0025,1701.31,7,0.03,484.13,Technology,Accessories,Memory Accessories
120,CUST-0220,Kayla Griffin,Corporate,USA,Diazchester,Missouri,87097,West,ORD-76668,2025-04-16,2025-04-23,Second Class,PROD-0025,183.89,6,0.06,11.15,Technology,Accessories,Memory Accessories
121,CUST-0185,Cassandra Burch,Home Office,USA,East Rhonda,California,1300,Central,ORD-25469,2025-04-10,2025-04-16,Same Day,PROD-0025,1609.39,4,0.01,414.16,Technology,Accessories,Memory Accessories
122,CUST-0281,Sherri Perez,Home Office,USA,Rodriguezchester,Virginia,666,South,ORD-77393,2023-10-28,2023-11-04,First Class,PROD-0025,150.25,3,0.14,13.73,Technology,Accessories,Memory Accessories
123,CUST-0014,Maria Delgado,Consumer,USA,Jenniferborough,Vermont,81758,South,ORD-65046,2023-10-16,2023-10-25,Second Class,PROD-0025,628.39,10,0.09,150.28,Technology,Accessories,Memory Accessories
124,CUST-0074,Ashley Garza MD,Home Office,USA,East Daniel,Missouri,6904,West,ORD-43779,2024-01-07,2024-01-14,Second Class,PROD-0025,1581.12,1,0.06,136.83,Technology,Accessories,Memory Accessories
125,CUST-0167,Henry Wagner,Consumer,USA,Port James,Ohio,86289,East,ORD-16518,2023-12-28,2024-01-02,Standard Class,PROD-0025,1312.1,7,0.25,182.0,Technology,Accessories,Memory Accessories
126,CUST-0101,Alexis Edwards,Corporate,USA,North Kristi,Pennsylvania,17232,West,ORD-38853,2024-11-17,2024-11-21,First Class,PROD-0026,1201.27,8,0.13,202.93,Technology,Accessories,Mr Accessories
127,CUST-0084,Jay Thompson,Corporate,USA,Patrickmouth,Massachusetts,68044,Central,ORD-16044,2024-05-23,2024-05-25,Same Day,PROD-0026,1082.57,9,0.05,121.9,Technology,Accessories,Mr Accessories
